ACTUAL;F;G;NUEVO;PAIS;
1442153500.png;DT Gustavo Alfaro;.png;DT Gustavo Alfaro.png;Ecuador;
1442153514.png;Hernán Galíndez;.png;Hernán Galíndez.png;Ecuador;
1442153543.png;Moisés Ramírez;.png;Moisés Ramírez.png;Ecuador;
1442153558.png;Alexander Domínguez;.png;Alexander Domínguez.png;Ecuador;
1442153578.png;Carlos Gruezo;.png;Carlos Gruezo.png;Ecuador;
1442153740.png;Jeremy Sarmiento;.png;Jeremy Sarmiento.png;Ecuador;
1442153769.png;Piero Hincapié;.png;Piero Hincapié.png;Ecuador;
1442153920.png;Ángel Mena;.png;Ángel Mena.png;Ecuador;
1442153965.png;Gonzalo Plata;.png;Gonzalo Plata.png;Ecuador;
1442153978.png;Ayrton Preciado;.png;Ayrton Preciado.png;Ecuador;
1442153993.png;Enner Valencia;.png;Enner Valencia.png;Ecuador;
1442154004.png;Michael Estrada;.png;Michael Estrada.png;Ecuador;
1442157021.png;Robert Arboleda;.png;Robert Arboleda.png;Ecuador;
1442157042.png;Diego Palacios;.png;Diego Palacios.png;Ecuador;
1442157061.png;Félix Torres;.png;Félix Torres.png;Ecuador;
1442157377.png;Xavier Arreaga;.png;Xavier Arreaga.png;Ecuador;
1442157398.png;José Cifuentes;.png;José Cifuentes.png;Ecuador;
1442157465.png;Jackson Porozo;.png;Jackson Porozo.png;Ecuador;
1442157538.png;Kevin Rodríguez;.png;Kevin Rodríguez.png;Ecuador;
1442157555.png;Romario Ibarra;.png;Romario Ibarra.png;Ecuador;
1442158380.png;Pervis Estupiñán;.png;Pervis Estupiñán.png;Ecuador;
1442158410.png;Alan Franco;.png;Alan Franco.png;Ecuador;
1442158458.png;Djorkaeff Reasco;.png;Djorkaeff Reasco.png;Ecuador;
1442158606.png;Angelo Preciado;.png;Angelo Preciado.png;Ecuador;
1442158632.png;Moisés Caicedo;.png;Moisés Caicedo.png;Ecuador;
1442158666.png;William Pacho;.png;William Pacho.png;Ecuador;
Jhegson-Mendez.png;Jhegson Méndez;.png;Jhegson Méndez.png;Ecuador;
1442739826.png;DT Lionel Scaloni;.png;DT Lionel Scaloni.png;Argentina;
1442740056.png;Franco Armani;.png;Franco Armani.png;Argentina;
1442740128.png;Emiliano Martínez;.png;Emiliano Martínez.png;Argentina;
1442740186.png;Nicolás Tagliafico;.png;Nicolás Tagliafico.png;Argentina;
1442740796.png;Paulo Dybala;.png;Paulo Dybala.png;Argentina;
1442741064.png;Alejandro Gómez;.png;Alejandro Gómez.png;Argentina;
1442741360.png;Nicolás Otamendi;.png;Nicolás Otamendi.png;Argentina;
1442742174.png;Rodrigo De Paul;.png;Rodrigo De Paul.png;Argentina;
1442742197.png;Germán Pezzella;.png;Germán Pezzella.png;Argentina;
1442742223.png;Leandro Paredes;.png;Leandro Paredes.png;Argentina;
1442742357.png;Ángel Di María;.png;Ángel Di María.png;Argentina;
1442742404.png;Lautaro Martínez;.png;Lautaro Martínez.png;Argentina;
1442742544.png;Alexis MacAllister;.png;Alexis MacAllister.png;Argentina;
1442742592.png;Cristian Romero;.png;Cristian Romero.png;Argentina;
1442742632.png;Nahuel Molina Lucero;.png;Nahuel Molina Lucero.png;Argentina;
1442742652.png;Juan Foyth;.png;Juan Foyth.png;Argentina;
1442742805.png;Exequiel Palacios;.png;Exequiel Palacios.png;Argentina;
1442742819.png;Gonzalo Montiel;.png;Gonzalo Montiel.png;Argentina;
1442742836.png;Marcos Acuña;.png;Marcos Acuña.png;Argentina;
1442743421.png;Guido Rodriguez;.png;Guido Rodriguez.png;Argentina;
1442743507.png;Enzo Fernández;.png;Enzo Fernández.png;Argentina;
1442743531.png;Julián Álvarez;.png;Julián Álvarez.png;Argentina;
1442770365.png;Thiago Almada;.png;Thiago Almada.png;Argentina;
1442770400.png;Ángel Correa;.png;Ángel Correa.png;Argentina;
1442770580.png;Lionel Messi;.png;Lionel Messi.png;Argentina;
1442774135.png;Gerónimo Rulli;.png;Gerónimo Rulli.png;Argentina;
1442801367.png;Lisandro Martínez;.png;Lisandro Martínez.png;Argentina;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (1).png;Sebastián Sosa;.png;Sebastián Sosa.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (2).png;Sergio Rochet;.png;Sergio Rochet.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (3).png;José M. Giménez;.png;José M. Giménez.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (4).png;Diego Godín;.png;Diego Godín.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (5).png;Ronald Araújo;.png;Ronald Araújo.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (6).png;Guillermo Varela;.png;Guillermo Varela.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (7).png;Mathias Olivera;.png;Mathias Olivera.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (8).png;Matías Viña;.png;Matías Viña.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (9).png;Sebastián Coates;.png;Sebastián Coates.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (10).png;Martín Cáceres;.png;Martín Cáceres.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (11).png;Matías Vecino;.png;Matías Vecino.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (12).png;Rodrigo Bentancur;.png;Rodrigo Bentancur.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (13).png;Nicolás De la Cruz;.png;Nicolás De la Cruz.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (14).png;Giorgian De Arrascaeta;.png;Giorgian De Arrascaeta.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (15).png;Lucas Torreira;.png;Lucas Torreira.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (16).png;Federico Valverde;.png;Federico Valverde.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (17).png;Agustín Canobbio;.png;Agustín Canobbio.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (18).png;Manuel Ugarte;.png;Manuel Ugarte.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (19).png;Facundo Pellistri;.png;Facundo Pellistri.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (20).png;Luis Suárez;.png;Luis Suárez.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (21).png;Darwin Núñez;.png;Darwin Núñez.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (22).png;Maximiliano Gómez;.png;Maximiliano Gómez.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (23).png;Facundo Torres;.png;Facundo Torres.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (24).png;Edinson Cavani;.png;Edinson Cavani.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (25).png;José L. Rodríguez;.png;José L. Rodríguez.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022 (26).png;DT Diego Alonso;.png;DT Diego Alonso.png;Uruguay;
Uruguay-Portraits-FIFA-World-Cup-Qatar-2022.png;Fernando Muslera ;.png;Fernando Muslera .png;Uruguay;
1441997286.png;DT Didier Deschamps;.png;DT Didier Deschamps.png;Wales;
1441997998.png;Wayne Hennessey;.png;Wayne Hennessey.png;Wales;
1441998068.png;Adam Davies;.png;Adam Davies.png;Wales;
1441998139.png;Danny Ward;.png;Danny Ward.png;Wales;
1441998281.png;Chris Gunter;.png;Chris Gunter.png;Wales;
1441998337.png;Gareth Bale;.png;Gareth Bale.png;Wales;
1441998435.png;Joe Allen;.png;Joe Allen.png;Wales;
1441998552.png;Aaron Ramsey;.png;Aaron Ramsey.png;Wales;
1441998615.png;Jonny Williams;.png;Jonny Williams.png;Wales;
1441998818.png;Mark Harris;.png;Mark Harris.png;Wales;
1441998982.png;Connor Roberts;.png;Connor Roberts.png;Wales;
1441999104.png;Kieffer Moore;.png;Kieffer Moore.png;Wales;
1441999220.png;Ben Davies;.png;Ben Davies.png;Wales;
1441999316.png;Joe Rodon;.png;Joe Rodon.png;Wales;
1441999347.png;Rubin Colwill;.png;Rubin Colwill.png;Wales;
1441999714.png;Sorba Thomas;.png;Sorba Thomas.png;Wales;
1442000050.png;Neco Williams;.png;Neco Williams.png;Wales;
1442000110.png;Chris Mepham;.png;Chris Mepham.png;Wales;
1442000260.png;Ethan Ampadu;.png;Ethan Ampadu.png;Wales;
1442000347.png;Ben Cabango;.png;Ben Cabango.png;Wales;
1442000468.png;Brennan Johnson;.png;Brennan Johnson.png;Wales;
1442000541.png;Tom Lockyer;.png;Tom Lockyer.png;Wales;
1442000584.png;Harry Wilson;.png;Harry Wilson.png;Wales;
1442000786.png;Dylan Levitt;.png;Dylan Levitt.png;Wales;
1442000878.png;Joe Morrell;.png;Joe Morrell.png;Wales;
1442001005.png;Matt Smith;.png;Matt Smith.png;Wales;
1442001097.png;Dan James;.png;Dan James.png;Wales;
447862.png;Alejandro Balde;.png;Alejandro Balde.png;Spain;
1442541442.png;DT Luis Enrique Martínez;.png;DT Luis Enrique Martínez.png;Spain;
1442546780.png;Robert Sánchez;.png;Robert Sánchez.png;Spain;
1442550384.png;David Raya;.png;David Raya.png;Spain;
1442550448.png;Unai Simón;.png;Unai Simón.png;Spain;
1442550649.png;Jordi Alba;.png;Jordi Alba.png;Spain;
1442550812.png;Eric García;.png;Eric García.png;Spain;
1442550925.png;Daniel Carvajal;.png;Daniel Carvajal.png;Spain;
1442550948.png;Hugo Guillamón;.png;Hugo Guillamón.png;Spain;
1442551021.png;Aymeric Laporte;.png;Aymeric Laporte.png;Spain;
1442551078.png;Pablo Sarabia;.png;Pablo Sarabia.png;Spain;
1442551204.png;Dani Olmo;.png;Dani Olmo.png;Spain;
1442551256.png;Marco Asensio;.png;Marco Asensio.png;Spain;
1442551339.png;Marcos Llorente;.png;Marcos Llorente.png;Spain;
1442551423.png;Carlos Soler;.png;Carlos Soler.png;Spain;
1442551426.png;Rodri;.png;Rodri.png;Spain;
1442551614.png;Pedri;.png;Pedri.png;Spain;
1442551723.png;Sergio Busquets;.png;Sergio Busquets.png;Spain;
1442551768.png;Ferran Torres;.png;Ferran Torres.png;Spain;
1442551864.png;Pau Torres;.png;Pau Torres.png;Spain;
1442551912.png;Gavi;.png;Gavi.png;Spain;
1442551969.png;Nico Williams;.png;Nico Williams.png;Spain;
1442552014.png;César Azpilicueta;.png;César Azpilicueta.png;Spain;
1442552066.png;Ansu Fati;.png;Ansu Fati.png;Spain;
1442552095.png;Álvaro Morata;.png;Álvaro Morata.png;Spain;
1442552127.png;Koke;.png;Koke.png;Spain;
1442552155.png;Yéremy Pino;.png;Yéremy Pino.png;Spain;
1442846618.png;DT Fernando Fernandez;.png;DT Fernando Fernandez.png;Portugal;
1442846670.png;Rui Patrício;.png;Rui Patrício.png;Portugal;
1442846689.png;José Sá;.png;José Sá.png;Portugal;
1442846737.png;Diogo Costa;.png;Diogo Costa.png;Portugal;
1442847606.png;Pepe;.png;Pepe.png;Portugal;
1442847629.png;Danilo Pereira;.png;Danilo Pereira.png;Portugal;
1442847659.png;William Carvalho;.png;William Carvalho.png;Portugal;
1442847713.png;Cristiano Ronaldo;.png;Cristiano Ronaldo.png;Portugal;
1442847721.png;Bernardo Silva;.png;Bernardo Silva.png;Portugal;
1442847796.png;Raphael Guerreiro;.png;Raphael Guerreiro.png;Portugal;
1442847835.png;Joao Mario;.png;Joao Mario.png;Portugal;
1442847847.png;Diogo Dalot;.png;Diogo Dalot.png;Portugal;
1442847901.png;André Silva;.png;André Silva.png;Portugal;
1442847922.png;Bruno Fernandes;.png;Bruno Fernandes.png;Portugal;
1442847932.png;Joao Cancelo;.png;Joao Cancelo.png;Portugal;
1442847954.png;Nuno Mendes;.png;Nuno Mendes.png;Portugal;
1442847980.png;Rúben Dias;.png;Rúben Dias.png;Portugal;
1442848529.png;Rúben Neves;.png;Rúben Neves.png;Portugal;
1442848543.png;Palhinha;.png;Palhinha.png;Portugal;
1442848552.png;Joao Félix;.png;Joao Félix.png;Portugal;
1442848571.png;Rafael Leao;.png;Rafael Leao.png;Portugal;
1442848590.png;Matheus Nunes;.png;Matheus Nunes.png;Portugal;
1442848641.png;Otávio;.png;Otávio.png;Portugal;
1442848694.png;Vitinha;.png;Vitinha.png;Portugal;
1442848712.png;António Silva;.png;António Silva.png;Portugal;
1442848722.png;Gonzalo Ramos;.png;Gonzalo Ramos.png;Portugal;
1442848733.png;Ricardo Horta;.png;Ricardo Horta.png;Portugal;